speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear,childLatJittered_day2,childLongJittered_day2,childLatJittered_day3,childLongJittered_day3
1558,358,F,white,Teacher,grad,3,5,Attleboro,suburban,2703,MA,41.9316531,-71.2945028,Attleboro,suburban,2703,MA,41.9316531,-71.2945028,Attleboro,2703.0,MA,2016_9_25_12_fCzjR,no,MechanicalTurkProject,41.92603480383481,-71.28840593826509,1987.0,41.90357003332455,-71.40919027755601,41.87757334486696,-71.33321463753795
1559,359,M,white,Senior Assistant Director for Systems,grad,2,5,"Prospect, CT",suburban,6712,CT,41.4992466,-72.9756339,"Bradford, ME",rural,3828,ME,42.9037387,-70.9955699,"Arlington, MA",2476.0,MA,2016_9_25_15_PFRCE,yes,MechanicalTurkProject,41.50019172808285,-72.96904414450572,1983.0,41.46403079176374,-72.88313632945956,41.4755446985447,-72.91692289513077
1560,360,M,white,Dish Washer,somecoll,6,3,Colchester,suburban,5446,VT,44.5412554,-73.1844116,Colchester,suburban,5446,VT,44.5412554,-73.1844116,Colchester,5446.0,VT,2016_9_25_15_qpyNT,yes,MechanicalTurkProject,44.53505114152303,-73.17911852990375,1998.0,44.54632472106048,-73.247720862595,44.433290380297436,-73.2738471476175
1562,362,M,white,Information Technology,bach,4,4,Auburn,suburban,3032,NH,42.9972613,-71.3634244,West Hartford,suburban,6110,CT,41.7326833,-72.733603,West Hartford,6110.0,CT,2016_9_25_15_zNnnk,yes,MechanicalTurkProject,42.99599424257834,-71.36875061320906,1984.0,42.95289208051737,-71.2910671340263,42.925403839300294,-71.314481680258
1563,363,F,white,musician,bach,4,4,West Hartford,suburban,6119,CT,41.763421,-72.727208,West Hartford,suburban,6119,CT,41.763421,-72.727208,Somerville,2155.0,MA,2016_9_25_16_pNWGm,yes,MechanicalTurkProject,41.76265300460283,-72.73658973839545,1991.0,41.697339317745325,-72.82618880354333,41.67052045855964,-72.82395631412291
1564,364,F,white,Research Coordinator,bach,3,4,Hamden,suburban,6518,CT,41.4308322,-72.9120209,Hamden,suburban,6518,CT,41.4308322,-72.9120209,Ithaca,14850.0,NY,2016_9_25_16_WaNvV,yes,MechanicalTurkProject,41.43295164027717,-72.91406398341347,1994.0,41.513180024403255,-72.87422480883016,41.52600745555174,-72.93479314885484
1567,367,F,white,Ecommerce retail,bach,3,4,Warwick,suburban,2889,RI,41.7005907,-71.3769271,Providence,urban,2906,RI,41.8401692,-71.3904078,Pittsburgh,2115.0,PA,2016_9_25_20_kYVAj,yes,MechanicalTurkProject,41.70624679154951,-71.37131213331888,1992.0,41.66397027863035,-71.324292685931,41.733091940163575,-71.3479647702562
1568,368,F,white,retail,assoc,3,3,Stoughton,suburban,2072,MA,42.119006,-71.1036499,stoughton,suburban,2072,MA,42.119006,-71.1036499,Somerville,2143.0,MA,2016_9_25_23_MPjlZ,yes,MechanicalTurkProject,42.11260114341697,-71.10012411194883,1989.0,42.03740907488906,-71.06390718404958,42.04827799742615,-71.13209608097812
1569,369,F,white,Customer Service,high,3,2,Chepachet,rural,2814,RI,41.8959478,-71.7004064,Chepachet,rural,2814,RI,41.8959478,-71.7004064,Chepachet,2703.0,RI,2016_9_26_3_RvFsD,no,MechanicalTurkProject,41.89298636515538,-71.69820185717357,1977.0,41.92384068354513,-71.72344230778151,41.9844074795586,-71.67420153514593
1570,370,F,white,ESL teacher,bach,3,4,Beverly,suburban,1915,MA,42.5702689,-70.8669963,Beverly,suburban,1915,MA,42.5702689,-70.8669963,Amherst,1003.0,MA,2016_9_26_7_sAMVA,yes,MechanicalTurkProject,42.565864692353706,-70.87397020742918,1991.0,42.55970937241714,-70.96990410528485,42.59275708441548,-70.90048244865446
1571,371,F,puerto,Customer Service,somecoll,3,3,Hartford,urban,6106,CT,41.7485873,-72.6960065,Hartford,urban,6106,CT,41.7485873,-72.6960065,East Windsor,6088.0,CT,2016_9_26_7_uQDab,yes,MechanicalTurkProject,41.7476734604145,-72.7026370198588,1992.0,41.813167728373074,-72.56677740916497,41.85053852611941,-72.5579284521091
1572,372,M,white,dishwasher,high,6,2,Warwick,suburban,2888,RI,41.7476708,-71.4061184,CRANSTON,suburban,2910,RI,41.7749988,-71.4355935,CRANSTON,2910.0,RI,2016_9_26_10_ljZfH,yes,MechanicalTurkProject,41.7510070465331,-71.41505736686139,1997.0,41.76738801754343,-71.34713294636232,41.854203863410426,-71.28037440454482
1573,373,F,white,proctor,grad,5,5,westfield,suburban,1085,MA,42.1535029,-72.771602,westfield,suburban,1085,MA,42.1535029,-72.771602,westfield,1085.0,MA,2016_9_26_12_jJrRF,yes,MechanicalTurkProject,42.15240386976818,-72.77329363304655,1978.0,42.17973660068583,-72.727894977856,42.07434083567992,-72.76070104859065
1574,374,F,otherhisp,Unemployed,bach,6,4,Stamford,urban,6901,CT,41.0535959,-73.538166,Stamford,urban,6901,CT,41.0535959,-73.538166,South Hadley,1075.0,MA,2016_9_26_13_QDAgX,yes,MechanicalTurkProject,41.05034164960639,-73.53098965977284,1993.0,41.09461583634957,-73.51205426241711,41.087525954732726,-73.5458355212455
1576,376,F,white,Human Resources Director,bach,3,4,Newport,suburban,2840,RI,41.4782156,-71.3223748,Newport,suburban,2840,RI,41.4782156,-71.3223748,Newport,2840.0,RI,2016_9_26_13_RGsLy,yes,MechanicalTurkProject,41.4840216905992,-71.32657729514746,1978.0,41.50991370209763,-71.31196681437274,41.50820193078923,-71.30430081305975
1577,377,F,white,Emergency Dispatcher,somecoll,5,3,Mansfield Center,rural,6250,CT,41.7729549,-72.1984464,Mansfield Center,rural,6250,CT,41.7729549,-72.1984464,Mansfield Center,6250.0,CT,2016_9_26_15_xDFJg,yes,MechanicalTurkProject,41.76674998911975,-72.19530499010199,1994.0,41.75315216655145,-72.14615300324166,41.748431273847736,-72.1005427113317
1580,380,F,white,Human Resources,grad,3,5,Lyndonville,rural,5851,VT,44.5571323,-72.0805897,Danville,rural,3828,VT,,,Northwood,3261.0,NH,2016_9_26_18_AHZRs,yes,MechanicalTurkProject,44.5584195802373,-72.08194414408459,1988.0,44.57106882781351,-72.06892695292521,44.525531761715435,-72.13040012961119
1581,381,M,white,Engineer,bach,4,4,Webster,suburban,1570,MA,42.0475322,-71.8469522,Webster,suburban,1844,MA,42.742751,-71.178588,Methuen,1844.0,MA,2016_9_26_18_PoRwZ,yes,MechanicalTurkProject,42.046140977415725,-71.84010290088065,1969.0,42.03352768674512,-71.79376911515536,42.00331451416014,-71.81135499555297
1582,382,F,vietnamese,Marketing Coordinator,bach,3,4,Woonsocket,suburban,2895,RI,42.0017058,-71.4999487,Woonsocket,suburban,2895,RI,42.0017058,-71.4999487,Boston,2118.0,MA,2016_9_26_20_aNlZD,yes,MechanicalTurkProject,42.00309930767597,-71.5092415139201,1992.0,41.94194038666781,-71.5546067555424,41.866271922078205,-71.61102903734174
1583,383,F,white,Research Coordinator,bach,3,4,Greenfield ,rural,1301,MA,42.6267614,-72.6015304,Marion,suburban,2738,MA,41.7041381,-70.7522247,Kenmore/Fenway in Boston,2215.0,MA,2016_9_26_20_bzaqa,yes,MechanicalTurkProject,42.62353829161219,-72.60048489797201,1993.0,42.66106803630938,-72.64652452969942,42.67713621678103,-72.59299693436459
1584,384,F,white,Vet receptionist ,somecoll,3,3,Stratford ,suburban,6614,CT,41.2324658,-73.1298734,Stratford ,suburban,6614,CT,41.2324658,-73.1298734,Waterbury ,6708.0,CT,2016_9_27_11_UPTcS,yes,MechanicalTurkProject,41.23034666168909,-73.12578577494877,1975.0,41.24203447625733,-73.13250652508613,41.20174133476491,-73.05680018579545
1585,385,M,otherhisp,Factory Worker - Father,bach,5,4,Central Falls,urban,2863,RI,41.8900642,-71.3934808,Central Falls,urban,2863,RI,41.8900642,-71.3934808,Kingston,2881.0,RI,2016_9_27_14_DlXzD,yes,MechanicalTurkProject,41.89708821890535,-71.38809785884771,1995.0,41.89896431331941,-71.3679483883479,41.885281242873454,-71.3992069377715
1586,386,M,white,cashier,somecoll,5,3,Kennebunk,urban,4043,ME,43.3929792,-70.5770318,kennebunk,urban,4043,ME,43.3929792,-70.5770318,kennebunk,4043.0,ME,2016_9_27_14_OUeAJ,no,MechanicalTurkProject,43.39340938813256,-70.57435084415019,1995.0,43.38651613598417,-70.56173267599195,43.385552022464864,-70.51831011724211
1587,387,F,white,Dental Assistant,high,3,2,Medford,suburban,2155,MA,42.4238395,-71.1076732,Medford,suburban,2155,MA,42.4238395,-71.1076732,Medford,2155.0,MA,2016_9_27_16_dmffw,yes,MechanicalTurkProject,42.42276227606987,-71.11412077578953,1991.0,42.4000174842042,-71.18915601985773,42.361232666847755,-71.30825804334027
1588,388,M,white,School Bus Driver,somecoll,5,3,Watertown,suburban,2472,MA,42.3694508,-71.1779249,Watertown,suburban,2472,MA,42.3694508,-71.1779249,Watertown,2472.0,MA,2016_9_27_18_KptfB,yes,MechanicalTurkProject,42.3667145006124,-71.17865769634102,1971.0,42.40292921061441,-71.15049165045241,42.390135336548255,-71.09856922613112
1589,389,M,white,Engineer,bach,4,4,Franklin,suburban,2038,MA,42.0848585,-71.4105714,Franklin,suburban,2038,MA,42.0848585,-71.4105714,Franklin,2038.0,MA,2016_9_27_19_iJWOU,yes,MechanicalTurkProject,42.09091848820884,-71.4090832381147,1972.0,42.07588561675229,-71.44679397983558,42.17251986019844,-71.51258323539099
1591,391,F,white,Student,bach,3,4,Arlington,suburban,2474,MA,42.4209494,-71.1563695,Arlington,suburban,2474,MA,42.4209494,-71.1563695,Arlington,2474.0,MA,2016_9_27_20_ACkeS,no,MechanicalTurkProject,42.41976145490363,-71.15019266239017,1990.0,42.429613261662574,-71.17948462571407,42.44655312897412,-71.16666148336982
1592,392,M,white,Student,bach,3,4,Mansfield,suburban,2048,MA,42.0172998,-71.2172998,Walpole,suburban,2081,MA,42.1462266,-71.2703781,South Kingstown,2093.0,RI,2016_9_27_20_zFsOv,yes,MechanicalTurkProject,42.019174375520656,-71.22113922060765,1987.0,42.01527535177261,-71.20283615234116,42.01539752499108,-71.19920304298213
1593,393,F,white,Writer,somecoll,4,3,Buckfield,rural,4220,ME,44.3426203,-70.3474404,Buckfield,rural,4220,ME,44.3426203,-70.3474404,Lewiston,,ME,2016_9_27_21_knYGX,yes,MechanicalTurkProject,44.342418629763245,-70.35713106879778,1981.0,44.25972767883389,-70.37395957629576,44.23983592854923,-70.3923978429422
1595,395,F,white,Student,grad,3,5,Killington,rural,5751,VT,43.657584,-72.7844104,Killington,rural,5751,VT,43.657584,-72.7844104,Portland,4101.0,ME,2016_9_27_23_raOZB,no,MechanicalTurkProject,43.65858574736105,-72.7867844745925,1984.0,43.63937114986316,-72.7545727932544,43.59867227268835,-72.78325067183494
