 speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,adult_latitude,adult_longitude
1640,440,F,white,Childcare Director,somecoll,2,3,Winthrop,suburban,2152,MA,42.3730546,-70.9748072,WINTHROP,suburban,2152,MA,42.3730546,-70.9748072,WINTHROP,2152.0,MA,2016_10_3_10_NfRdJ,yes,MechanicalTurkProject,42.3746525,-70.9825807
1641,441,M,white,Maritime Historian,bach,4,4,Gloucester,urban,1930,MA,42.61991,-70.6818235,Gloucester,urban,1930,MA,42.61991,-70.6818235,Gloucester,1930.0,MA,2016_10_3_10_nJVSJ,yes,MechanicalTurkProject,42.6153595,-70.6624608
1642,442,F,white,Student,somecoll,3,3,Bethel,suburban,6801,CT,41.3697777,-73.3895032,Bethel,suburban,6801,CT,41.3697777,-73.3895032,Storrs,6269.0,CT,2016_10_3_12_Hdhxk,yes,MechanicalTurkProject,41.8056456,-72.2541329
1643,443,M,white,Education,grad,3,5,Jamestown,suburban,2835,RI,41.510088,-71.3783655,Jamestown,suburban,2835,RI,41.510088,-71.3783655,New Britain,6053.0,CT,2016_10_3_13_JGleJ,yes,MechanicalTurkProject,41.6612104,-72.7795419
1644,444,F,white,Senior Consultant,assoc,2,3,Shelton,suburban,6484,CT,41.3045153,-73.139041,Shelton,suburban,6484,CT,41.3045153,-73.139041,meriden,6450.0,CT,2016_10_3_14_xDxIy,yes,MechanicalTurkProject,41.5381535,-72.8070435
1645,445,F,white,personal care attendant,high,4,2,Raynham,suburban,2767,MA,41.940996,-71.0484992,Raynham,suburban,2767,MA,41.940996,-71.0484992,Raynham,2767.0,MA,2016_10_3_16_PrqGg,yes,MechanicalTurkProject,41.9487118,-71.0731008
1646,446,M,white,Entrepreneur,bach,1,4,Middleton,suburban,1949,MA,42.6066659,-71.0103158,Middleton,suburban,1949,MA,42.6066659,-71.0103158,Allston,2134.0,MA,2016_10_3_19_FXyFP,yes,MechanicalTurkProject,42.3555375,-71.1327494
1648,448,F,white,cashier,bach,5,4,Ashland,suburban,1721,MA,42.2577546,-71.4735257,Ashland,suburban,1721,MA,42.2577546,-71.4735257,Ashland,1721.0,MA,2016_10_3_19_tSyoD,yes,MechanicalTurkProject,42.2599608,-71.4642596
1649,449,M,white,Graduate Student,bach,3,4,Tewksbury,suburban,1876,MA,42.6118008,-71.2275708,Tewksbury,suburban,1876,MA,42.6118008,-71.2275708,Tewksbury,1876.0,MA,2016_10_3_20_ciOgx,yes,MechanicalTurkProject,42.6106479,-71.2342248
1650,450,F,puerto,shift manager ,high,3,2,bristol,rural,2809,RI,41.6757303,-71.273331,bristol,rural,2809,RI,41.6757303,-71.273331,fall river,2724.0,MA,2016_10_3_23_lzjME,yes,MechanicalTurkProject,41.7010642,-71.1546367
