speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear
1497,297,F,white,Education,bach,3,4,New Milford,suburban,6776,CT,41.6013201,-73.4228319,New Milford ,suburban,6776,CT,41.6013201,-73.4228319,Danbury,1810.0,CT,2016_9_20_13_Gtepq,yes,MechanicalTurkProject,41.60665294926597,-73.42633032088648,1977
1498,298,M,white,Office Manger,grad,2,5,Swampscott,suburban,1907,MA,42.474287,-70.905908,Swampscott,suburban,1907,MA,42.474287,-70.905908,East Boston,2128.0,MA,2016_9_20_13_SphXG,yes,MechanicalTurkProject,42.47876018831293,-70.9026938796016,1980
1499,299,M,white,Program Manager,grad,2,5,Bridgeport,urban,6604,CT,41.1829197,-73.2080265,Bridgeport,urban,6604,CT,41.1829197,-73.2080265,Manchester,3103.0,NH,2016_9_20_17_LpxOR,yes,MechanicalTurkProject,41.177604774867845,-73.20891294767569,1974
1500,300,F,white,Office Service Associate,somecoll,3,3,Stoughton,suburban,2072,MA,42.119006,-71.1036499,2072,suburban,2072,MA,42.119006,-71.1036499,Winthrop,2152.0,MA,2016_9_20_19_LKvtB,no,MechanicalTurkProject,42.124265980782056,-71.10795635864872,1970
1501,301,F,white,homemaker,somecoll,4,3,Franklin,suburban,2038,MA,42.0848585,-71.4105714,Franklin,suburban,2038,MA,42.0848585,-71.4105714,Harwich,2645.0,MA,2016_9_20_19_wxxyj,yes,MechanicalTurkProject,42.08711212989458,-71.41006197292812,1976
1502,302,M,white,Software Consultant,bach,3,4,Exeter,rural,2822,RI,41.5702104,-71.6269931,Exeter,rural,2822,RI,41.5702104,-71.6269931,Quincy,2169.0,MA,2016_9_20_20_eVEjG,yes,MechanicalTurkProject,41.56387172862433,-71.6252457164616,1987
1503,303,M,white,photographer,somecoll,5,3,Dedham,suburban,2026,MA,42.2468719,-71.1794622,Dedham,suburban,2026,MA,42.2468719,-71.1794622,Dedham,2026.0,MA,2016_9_20_20_TtbWs,yes,MechanicalTurkProject,42.24162966378288,-71.1738650959381,1992
1504,304,F,white,cake decorator,bach,4,4,Bedford,suburban,3102,NH,43.0119153,-71.4911193,Bedford,suburban,3102,NH,43.0119153,-71.4911193,Somerville,,MA,2016_9_20_21_HuQYr,yes,MechanicalTurkProject,43.01773897875434,-71.49416151029537,1970
1505,305,F,white,Teacher,bach,3,4,Milford,suburban,6460,CT,41.2142663,-73.0508121,Milford,suburban,6460,CT,41.2142663,-73.0508121,Uncasville,6382.0,CT,2016_9_20_21_lPLhu,yes,MechanicalTurkProject,41.21814716851586,-73.0577817252204,1977
1506,306,F,black,Paralegal,bach,3,4,Providence,urban,2909,RI,41.8215212,-71.4538694,Providence,urban,2909,RI,41.8215212,-71.4538694,Allston-Brighton,2135.0,MA,2016_9_20_22_fgCKl,yes,MechanicalTurkProject,41.82180844164705,-71.45716285498827,1991
1508,308,F,white,Ticket Sales,high,5,2,Hodgdon,rural,4730,ME,46.1910425,-67.8610283,Hodgdon,rural,4730,ME,46.1910425,-67.8610283,Houlton,4730.0,ME,2016_9_21_8_LnGeq,yes,MechanicalTurkProject,46.19201336731268,-67.86654630187378,1990
1509,309,F,white,administrative assistant,somecoll,3,3,Manchester,suburban,3103,NH,42.950538,-71.4465468,Manchestser,suburban,3103,NH,42.950538,-71.4465468,Manchestser,3103.0,NH,2016_9_21_13_TDICW,yes,MechanicalTurkProject,42.95614473522558,-71.44379073852475,1983
1510,310,M,other,Teacher,high,3,2,Branford,suburban,6405,CT,41.2850011,-72.7935493,Branford,suburban,6405,CT,41.2850011,-72.7935493,Branford,6405.0,CT,2016_9_21_15_vhFGT,no,MechanicalTurkProject,41.29134652183011,-72.79855481137699,1996
1511,311,M,white,Active duty USCG,somecoll,4,3,St Albans,rural,4971,ME,44.92968,-69.3912779,St Albans,rural,4971,ME,44.92968,-69.3912779,Boston,2114.0,MA,2016_9_21_16_rkOSA,yes,MechanicalTurkProject,44.9318926242339,-69.38973334019158,1989
1512,312,M,otherhisp,IT SUpport,high,4,2,Melrose,suburban,2176,MA,42.455723,-71.0590194,East Boston,urban,2128,MA,42.3611289,-71.0069754,Atlanta,,GA,2016_9_21_18_KdjhV,yes,MechanicalTurkProject,42.46190226099649,-71.0567389819136,1995
1513,313,M,white,Shipping,somecoll,5,3,Westhampton,rural,1027,MA,42.2950079,-72.7518767,Westhampton,rural,1027,MA,42.2950079,-72.7518767,Westhampton,1027.0,MA,2016_9_21_19_JkzYC,yes,MechanicalTurkProject,42.29877481380272,-72.7461995471305,1997
1514,314,M,white,Information Technology & Facilities Coordinator,grad,2,5,Chaplin,rural,6235,CT,41.7908895,-72.1295395,Storrs,suburban,6268,CT,41.8004442,-72.2480301,Willimantic,6226.0,CT,2016_9_21_22_PhqlW,yes,MechanicalTurkProject,41.796022086930165,-72.12010751735956,1987
1515,315,M,white,usher,somecoll,5,3,Brentwood,rural,3833,NH,42.978415,-70.9875221,Brentwood,rural,3833,NH,42.978415,-70.9875221,Boston,2115.0,NH,2016_9_22_0_lBXoh,yes,MechanicalTurkProject,42.985549509002354,-70.99096572393614,1997
1517,317,M,white,factory worker,high,5,2,springfield,urban,1118,MA,42.0937319,-72.5259054,springfield,urban,1118,MA,42.0937319,-72.5259054,springfield,1118.0,MA,2016_9_22_8_wTyiK,yes,MechanicalTurkProject,42.08780850207299,-72.53192983774784,1981
1518,318,M,chinese,Biomedical Technician,bach,4,4,Westborough,suburban,1581,MA,42.2684262,-71.6133087,Rocky Hill,suburban,6067,CT,41.6566243,-72.6617787,Rocky Hill,6067.0,CT,2016_9_22_9_dFjWK,yes,MechanicalTurkProject,42.26598551580883,-71.61147770887577,1983
1519,319,F,white,Analyst,assoc,3,3,Pawtucket,urban,2860,RI,41.8705624,-71.3886815,Central Falls,urban,2863,RI,41.8900642,-71.3934808,Providence,2904.0,RI,2016_9_22_10_nTkRT,yes,MechanicalTurkProject,41.87426964720077,-71.39226464146132,1952
1520,320,F,white,Prep Cook,high,4,2,South Portland,suburban,4106,ME,43.631402,-70.2859894,South Portland,suburban,4106,ME,43.631402,-70.2859894,PORTLAND,4102.0,ME,2016_9_22_12_hBvAY,yes,MechanicalTurkProject,43.63491452684352,-70.28124049110909,1991
1521,321,M,white,Mental health worker,bach,4,4,South Burlington,suburban,5403,VT,44.4448665,-73.1734678,South Burlington,suburban,5403,VT,44.4448665,-73.1734678,Burlington,5401.0,VT,2016_9_22_13_ApoeC,yes,MechanicalTurkProject,44.44611056340663,-73.16901687687245,1988
1522,322,F,white,Online Sales/Homemaker,somecoll,4,3,Rockland,suburban,2370,MA,42.1303994,-70.9106147,Fort Fairfield,rural,4742,ME,46.7762407,-67.859197,BANGOR,4401.0,ME,2016_9_22_13_ningN,yes,MechanicalTurkProject,42.13640548426586,-70.90335548463447,1971
1523,323,F,white,Social Media Analyst,somecoll,3,3,Westmoreland NH,rural,3467,NH,42.9680753,-72.4308561,Westmoreland NH,rural,3467,NH,42.9680753,-72.4308561,Keene NH,3431.0,NH,2016_9_22_13_RooXX,yes,MechanicalTurkProject,42.970120925919886,-72.43509856288289,1977
1524,324,F,white,Sales associate for DSW,bach,3,4,warwick,suburban,2886,RI,41.7038489,-71.4555684,warwick,suburban,2886,RI,41.7038489,-71.4555684,warwick,2886.0,RI,2016_9_22_16_pddFm,yes,MechanicalTurkProject,41.69690609676436,-71.44869899444129,1993
1525,325,F,white,Facilities/Security Manager,high,2,2,Windham,suburban,6280,CT,41.6909859,-72.1300937,Windham,suburban,6280,CT,41.6909859,-72.1300937,Fayetteville,,NC,2016_9_22_18_fuEua,yes,MechanicalTurkProject,41.68917366516441,-72.12643533968061,1985
1526,326,M,white,Engineer,bach,4,4,Sutton,suburban,1590,MA,42.1320512,-71.750318,Sutton,suburban,1590,MA,42.1320512,-71.750318,Allston,2134.0,MA,2016_9_22_22_adnuN,yes,MechanicalTurkProject,42.12863578777226,-71.75491079926721,1986
1527,327,F,white,Freelancer - Business Documentation,bach,3,4,Sandown,rural,3873,NH,42.9340178,-71.1836046,Sandown,rural,3873,NH,42.9340178,-71.1836046,New Rochelle,10805.0,NY,2016_9_23_0_vSskY,yes,MechanicalTurkProject,42.93233540331463,-71.19133296207289,1976
1531,331,F,white,Researcher,bach,3,4,Pembroke,suburban,3275,NH,43.170513,-71.417063,Pembroke,suburban,3275,NH,43.170513,-71.417063,Durham,3824.0,NH,2016_9_23_13_IGXSv,yes,MechanicalTurkProject,43.16974675564309,-71.42627275704113,1989
1532,332,M,white,Line Cook,somecoll,4,3,Brewer,urban,4412,ME,44.7846941,-68.7350722,Brewer,urban,4412,ME,44.7846941,-68.7350722,Bangor,4401.0,ME,2016_9_23_13_TvbZC,yes,MechanicalTurkProject,44.79064970690181,-68.73512497012476,1984
1533,333,F,white,Factory Worker,assoc,5,3,Gardner,suburban,1440,MA,42.5865157,-71.9880619,Gardner,suburban,1440,MA,42.5865157,-71.9880619,Winchendon,1475.0,MA,2016_9_23_13_uBUDK,yes,MechanicalTurkProject,42.59055750608331,-71.99212536909441,1984
